time,number_of_shares
2011-07-31,104018274
2011-10-31,104298634
2012-01-31,104604044
2012-01-31,104604044
2012-04-30,105214400
2012-07-16,105432497
2012-10-31,113778865
2013-01-31,114517973
2013-04-30,115552703
2013-07-31,121449647
2013-10-31,122593928
2014-01-31,123191938
2014-04-30,124090160
2014-07-31,124629814
2014-10-31,125381798
2015-01-31,125762835
2015-04-30,126403793
2015-07-30,127142147
2015-10-29,130951319
2016-01-31,132056338
2016-04-29,133944622
2016-07-29,148692605
2016-10-25,149891190
2017-01-31,161670428
2017-04-30,164259736
2017-07-31,166887023
2017-10-27,168067395
2018-02-14,168919941
2018-04-30,169793685
2018-07-27,170593144
2018-10-26,171732775
2019-02-12,172721487
2019-04-22,173720801
2019-07-22,179127239
2019-10-21,180244858
2020-02-07,181341586
2020-02-07,181341586
2020-04-23,185371105
2020-07-20,186361726
2020-10-20,947900733
2021-02-01,959853504
2021-02-01,959853504
2021-04-21,963330448
2021-07-22,990015158
2021-10-21,1004264852
2022-01-31,1033507611
2022-01-31,1033507611
2022-04-19,1036009925
2022-07-19,1044490015
2022-10-18,3157752449
2023-01-25,3164102701
2023-04-17,3169504301
2023-07-17,3173994467
2023-10-16,3178921391
2024-01-22,3184790415
2024-04-18,3189196167
2024-07-18,3194640415
