time,liabilities
2010-12-31,179034000
2010-12-31,179034000
2010-12-31,179034000
2010-12-31,179034000
2011-06-30,297703000
2011-09-30,406132000
2011-12-31,489403000
2011-12-31,489403000
2011-12-31,489403000
2011-12-31,489403000
2011-12-31,489403000
2011-12-31,489403000
2012-03-31,607226000
2012-06-30,714654000
2012-09-30,837052000
2012-12-31,989490000
2012-12-31,989490000
2012-12-31,989490000
2012-12-31,989490000
2012-12-31,989490000
2013-03-31,975195000
2013-06-30,1258418000
2013-09-30,1524546000
2013-12-31,1749810000
2013-12-31,1749810000
2013-12-31,1749810000
2013-12-31,1749810000
2013-12-31,1749810000
2014-03-31,3518412000
2014-06-30,4036047000
2014-09-30,4417278000
2014-12-31,4879345000
2014-12-31,4879345000
2014-12-31,4879345000
2014-12-31,4879345000
2014-12-31,4860761000
2015-03-31,5239756000
2015-06-30,5701978000
2015-09-30,6186660000
2015-12-31,6961471000
2015-12-31,6936950000
2015-12-31,6936950000
2015-12-31,6936950000
2015-12-31,6936950000
2016-03-31,8178711000
2016-06-30,9311512000
2016-09-30,9900639000
2016-12-31,16750167000
2016-12-31,16750167000
2016-12-31,16750167000
2016-12-31,16750167000
2016-12-31,16750167000
2017-03-31,18885353000
2017-06-30,19459902000
2017-09-30,21929057000
2017-12-31,23022980000
2017-12-31,23022980000
2017-12-31,23022980000
2017-12-31,23022980000
2017-12-31,23022980000
2018-03-31,21551021000
2018-06-30,22642887000
2018-09-30,23409144000
2018-12-31,23426010000
2018-12-31,23426010000
2018-12-31,23426010000
2018-12-31,23427000000
2018-12-31,23427000000
2019-03-31,22874618000
2019-06-30,24722136000
2019-09-30,25313000000
2019-12-31,26199000000
2019-12-31,26199000000
2019-12-31,26199000000
2019-12-31,26199000000
2019-12-31,26199000000
2020-03-31,26518000000
2020-06-30,26754000000
2020-09-30,28143000000
2020-12-31,28418000000
2020-12-31,28418000000
2020-12-31,28418000000
2020-12-31,28418000000
2020-12-31,28418000000
2021-03-31,28507000000
2021-06-30,28896000000
2021-09-30,29340000000
2021-12-31,30548000000
2021-12-31,30548000000
2021-12-31,30548000000
2021-12-31,30548000000
2021-12-31,30548000000
2022-03-31,30632000000
2022-06-30,30855000000
2022-09-30,33302000000
2022-12-31,36440000000
2022-12-31,36440000000
2022-12-31,36440000000
2022-12-31,36440000000
2022-12-31,36440000000
2023-03-31,37598000000
2023-06-30,38409000000
2023-09-30,39446000000
2023-12-31,43009000000
2023-12-31,43009000000
2023-12-31,43009000000
2024-03-31,44046000000
2024-06-30,45569000000
